ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
204997_at,7.41e-34,2.81e-37,-1.87e+01,74.2145151,-5.38,GPD1,glycerol-3-phosphate dehydrogenase 1,Downregulated
206262_at,7.41e-34,2.84e-37,-1.87e+01,74.2026988,-4.60,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Downregulated
206030_at,1.14e-33,4.77e-37,-1.85e+01,73.6937701,-4.68,ASPA,aspartoacylase,Downregulated
1563182_at,1.33e-33,6.07e-37,-1.85e+01,73.4562982,-4.83,ACVR1C,activin A receptor type 1C,Downregulated
220736_at,5.30e-33,2.91e-36,-1.82e+01,71.9132638,-4.51,SLC19A3,solute carrier family 19 member 3,Downregulated
220327_at,6.38e-33,3.62e-36,-1.81e+01,71.6983998,-3.54,VGLL3,vestigial like family member 3,Downregulated
235708_at,1.36e-32,8.49e-36,-1.80e+01,70.8584033,-4.87,KLB,klotho beta,Downregulated
218934_s_at,2.13e-32,1.40e-35,-1.79e+01,70.3630328,-3.61,HSPB7,heat shock protein family B (small) member 7,Downregulated
238003_at,3.79e-32,2.56e-35,-1.77e+01,69.7687347,-4.64,HEPN1///HEPACAM,"hepatocellular carcinoma, down-regulated 1///hepatic and glial cell adhesion molecule",Downregulated
230309_at,5.24e-32,3.74e-35,-1.77e+01,69.3967981,-4.41,BHMT2,betaine--homocysteine S-methyltransferase 2,Downregulated
206209_s_at,5.93e-32,4.45e-35,-1.76e+01,69.2261734,-3.81,CA4,carbonic anhydrase 4,Downregulated
229480_at,7.14e-32,5.48e-35,-1.76e+01,69.0199067,-3.84,MAGI2-AS3,MAGI2 antisense RNA 3,Downregulated
